name,type,category,hotelClass,priceLevel,priceRange,latitude,longitude,addressObj_city,addressObj_country,locationString,rating,numberOfReviews,rankingPosition,rankingString,rawRanking,aiReviewsSummary,description,reviewTags_0_text,reviewTags_1_text,reviewTags_2_text,reviewTags_3_text,reviewTags_4_text,reviewTags_5_text,reviewTags_6_text,reviewTags_7_text,reviewTags_8_text,reviewTags_9_text,roomTips_0_text,roomTips_1_text,amenities_list,priceRange_clean,priceLevel_numeric,aiReviewsSummary_is_missing,reviewTags_combined,roomTips_combined,ranking_clean
The Palm Tree House,HOTEL,hotel,0.0,$$$,$200 - $300,-8.647741,115.13655,Canggu,Indonesia,"Canggu, North Kuta, Bali",5.0,466,3,#3 of 441 Specialty lodging in Canggu,4.90917015075683,"Nestled in an enviable location, The Palm Tree House hotel is a stone's throw from local shops, eateries, and the beach, a feature that guests frequently applaud. The establishment's rooms earn high marks for their beauty, spaciousness, and cleanliness, enriched with thoughtful details. Patrons lavish praise on the hotel's amenities, especially the luxurious spa and exquisite dining options, not to mention the exceptional service that makes them feel exceptionally welcomed. Although opinions on value diverge, the consensus is clear on the hotel's meticulously clean and tranquil atmosphere, which many describe as a peaceful retreat.","The Palm Tree House celebrates the healthy lifestyle of yoga, surf and laid back island living that Bali is known and loved for. Spend a week relaxing in a gorgeous boutique villa retreat, surrounded by tropical gardens in beautiful Canggu. Shine and glow with yoga, blissful massages, exciting excursions, delicious healthy meals, a warm Indonesian team looking after you and everything you need for the perfect healthy escape.",spa package,mama putu,yoga classes,sound healing,spa staff,perfect retreat,amazing team,cultural activities,solo trip,pure indulgence,Don’t hesitate to book. ,Ask the staff for help with anything - they will make it happen! ,"Pool, Internet, Shuttle Bus Service, Suites, Room service, Free Internet, Spa, Airport transportation, Wifi, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Non-smoking hotel, Safe, Free airport transportation, Free Shuttle or Taxi Services, Entertainment Staff, Facial Treatments, Fitness Classes, Full Body Massage, Head Massage, Indonesian, Massage, Mosquito Net, Private Check-in / Check-out, Salon, 24-Hour Security, Special Diet Menus, Sun Loungers / Beach Chairs, Sun Umbrellas, Taxi Service",250.0,3.0,0,"spa package, mama putu, yoga classes, sound healing, spa staff, perfect retreat, amazing team, cultural activities, solo trip, pure indulgence",Don’t hesitate to book. Ask the staff for help with anything - they will make it happen!,3
Bliss Sanctuary For Women,HOTEL,hotel,0.0,,,-8.693269,115.16579,Seminyak,Indonesia,"Seminyak, Kuta District, Bali",4.9,525,1,#1 of 471 Specialty lodging in Seminyak,4.86826467514038,"Bliss Sanctuary For Women emerges as a highly-regarded oasis, with many guests lauding its beautifully adorned and spotless rooms, complete with thoughtful details such as fresh flowers and personalized welcome notes. The hotel's service is frequently celebrated for its individualized care and exceptional hospitality. A serene haven, the establishment is commended for its tranquil atmosphere and meticulous upkeep, ensuring a relaxing retreat. Its location is also a hit, offering a peaceful enclave with easy access to local delights. Amenities, including unlimited spa treatments and delectable cuisine, coupled with the hotel's unwavering cleanliness, make it a place where travelers find outstanding value.","Bliss Sanctuary for Women Seminyak (founded in 2016), welcomes women traveling on their own without being alone or with a friend. Come and stay with us in beautiful Bali Villa Accommodation where you will be nurtured to your heart's content. No kids, no couples, and only a handful of women at any one time. This is pure holiday bliss, a sanctuary for women traveling who want the ultimate relaxation hassle free travel experience in Bali. 5-7 Day Packages ALL inclusive: All Meals, unlimited massage & spa treatments everyday, unlimited yoga, meditation, personal driver, free sightseeing, onsite dedicated hostess, Itinerary consultation... Hassle Free Bliss! Spa treatments include: Balinese Massage, Hot Stone Massage, Thai Massage, Facial, Body Scrub, Creme Bath (head & shoulders), Manicure & Pedicure, Reflexology ... All Included 90 minutes or more everyday with unlimited treatments in your package.",spa treatments,unlimited spa,coconut pancakes,yoga and meditation,herbal ball massage,ladies staying,warm hug,rice paper rolls,wonderful hostesses,hardest decision,It can be difficult to spot your driver when the airport is busy and you are tired after a long flight but take your time to find him.,Perfect for people who want to travel on their own but feel supported and have a shared dinner every night. ,"Pool, Internet, Shuttle Bus Service, Room service, Free Internet, Wheelchair access, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Safe, Butler Service, Outdoor pool, Free airport transportation, Free Shuttle or Taxi Services, Sauna, Adults Only, Bicycle Tours, Breakfast in the Room, 24-Hour Check-in, Entertainment Staff, Facial Treatments, Fitness Classes, Foot Massage, Full Body Massage, Head Massage, Indonesian, Ironing Service, Massage, Mosquito Net, Pool / Beach Towels, Private Check-in / Check-out, Salon, 24-Hour Security, Snack Bar, Special Diet Menus, Sun Loungers / Beach Chairs, Sun Umbrellas, Taxi Service, Beach Access",144.98710010319917,1.7100103199174406,0,"spa treatments, unlimited spa, coconut pancakes, yoga and meditation, herbal ball massage, ladies staying, warm hug, rice paper rolls, wonderful hostesses, hardest decision",It can be difficult to spot your driver when the airport is busy and you are tired after a long flight but take your time to find him. Perfect for people who want to travel on their own but feel supported and have a shared dinner every night.,1
"The Club By The Legian Seminyak, Bali",HOTEL,hotel,5.0,$$$$,$536 - $669,-8.684579,115.15454,Seminyak,Indonesia,"Seminyak, Kuta District, Bali",5.0,205,6,#6 of 139 hotels in Seminyak,4.87492895126342,"The Club by The Legian Seminyak in Bali receives widespread acclaim for its luxurious amenities, with guests particularly fond of the private villas with pools and the attentive butler service. The cleanliness of the hotel is a common highlight, with travelers impressed by the pristine villas and well-kept grounds. The staff's personalized care contributes to the exceptional service that guests often mention. Nestled in an ideal location in Seminyak, the hotel provides a tranquil haven in a vibrant area. Guests are enchanted by the serene atmosphere and elegant decor, adding to the overall luxurious experience. The spacious and well-appointed accommodations are consistently praised for their comfort and elegance. Additionally, many guests feel the hotel offers excellent value, providing premium facilities and a personalized experience at competitive prices.","The Club by The Legian Seminyak, Bali is conveniently located right across from The Legian Seminyak, Bali, a haven of one’s own, designed in a sleek modern style yet embodying all the architectural detail for which Bali is so famous. Each of the 13 villas are located in their own private pool and comes with a chauffeured limousine, laundry, daily afternoon tea, cocktails and canapés as well as complimentary in-room private bar and the service of a private butler, trained by The Guild of Professional English Butlers. Club residents have exclusive access to the Club Lounge and are invited to use the beach, wellness and food and beverage facilities at The Legian Seminyak, Bali.",the main hotel,personal butler,hotels around the world,club area,outdoor bathtub,first club,wonderful property,hotel amenities,private pool,our honeymoon,Villas are excellent for couples. Go after mid January to avoid the crowds everywhere in Bali.,Each villa has its own good sized pool so no issues with crowding at all.  the Club pool was large and the hotel pool is on the beach.,"Pool, Internet, Beachfront, Shuttle Bus Service, Suites, Room service, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Refrigerator in room, Minibar, Babysitting, Safe, Butler Service, Outdoor pool, Private Pools, Free airport transportation, Free Shuttle or Taxi Services, Housekeeping, Additional Bathroom, Bathrobes, Breakfast in the Room, 24-Hour Check-in, Clothes Rack, Complimentary Tea, Desk, Fitness Classes, Indonesian, Ironing Service, Japanese, Massage, Pool / Beach Towels, Private Check-in / Check-out, 24-Hour Security, Secured Parking, Sun Loungers / Beach Chairs, Wine / Champagne, Beach Access, Free Internet",602.5,4.0,0,"the main hotel, personal butler, hotels around the world, club area, outdoor bathtub, first club, wonderful property, hotel amenities, private pool, our honeymoon",Villas are excellent for couples. Go after mid January to avoid the crowds everywhere in Bali. Each villa has its own good sized pool so no issues with crowding at all. the Club pool was large and the hotel pool is on the beach.,6
Goddess Retreats,HOTEL,hotel,0.0,,,-8.56014,115.2728,Ubud,Indonesia,"Ubud, Gianyar Regency, Bali",5.0,136,1,#1 of 798 Specialty lodging in Ubud,4.88463163375854,"Nestled in the captivating Ubud region, Goddess Retreats has been lauded by guests for creating a nurturing oasis that radiates serenity and warmth. The rooms, celebrated for their immaculate cleanliness and comforting design, come with delightful daily cookies, adding a personalized touch. Reviewers consistently extol the retreat's value, thanks to its all-inclusive spa treatments and sumptuous culinary offerings. With its breathtaking location and the staff's exceptional, attentive service, the retreat not only rejuvenates but also provides a spiritually enriching experience, earning high praise for its amenities and overall atmosphere.","DESIGNED FOR WOMEN, BY WOMEN Escape to the tranquil oasis of Ubud with Goddess Retreats, Bali's leading provider of women's wellness retreats since 2003. Our healing retreat in Ubud offers a Eat, Pray, Love style transformative journey with daily yoga, meditation, and holistic wellness sessions. Indulge in unlimited spa treatments, healing therapies, and nourishing organic meals. Experience cultural immersions with guided tours, traditional Balinese ceremonies, and visits to sacred sites. Our spiritual retreats are designed for solo female travelers and friends, providing a nurturing and supportive environment. Rediscover your inner peace and vitality in the heart of Bali's lush landscapes.",spa treatments,reset,healer,pampering,accommodations,culture,bali,,,,Make sure to try the sauna and plunge tub.,"Don’t drink tap water, going during rainy reason was just fine, if you have some days to explore Bali before or after the retreat do it!","Suites, Free Internet, Free parking, Kitchenette, Airport transportation, Breakfast included, Non-smoking rooms, Laundry Service, Air conditioning, Refrigerator in room, Non-smoking hotel, Safe, Private Balcony, Adult pool, Outdoor pool, Private Pools, Free airport transportation, Free Shuttle or Taxi Services, Housekeeping, Sauna, Adults Only, Bath / Shower, Bathrobes, Blackout Curtains, Bottled Water, Clothes Rack, Coffee / Tea Maker, Complimentary Tea, Desk, Dining Area, Electric Kettle, English, Facial Treatments, Foot Bath, Foot Massage, Complimentary Instant Coffee, Complimentary Toiletries, Complimentary Welcome Drink, Full Body Massage, Hair Dryer, Hand Massage, Head Massage, Indonesian, Kitchenware, Manicure, Massage, Mosquito Net, Neck Massage, Outdoor Dining Area, Patio, Pedicure, Plunge Pool, Pool / Beach Towels, Pool View, Private Bathrooms, Private Check-in / Check-out, Saltwater Pool, Seating Area, 24-Hour Security, Separate Living Room, Shared Kitchen, Shared Lounge / TV Area, Shared Bathroom, Snack Bar, Sofa, Special Diet Menus, Sun Deck, Sun Loungers / Beach Chairs, Sun Terrace, Taxi Service, Tile / Marble Floor, Walk-in Shower, Walking Tours, Wardrobe / Closet, Yoga Classes, Yoga Room",144.98710010319917,1.7100103199174406,0,"spa treatments, reset, healer, pampering, accommodations, culture, bali","Make sure to try the sauna and plunge tub. Don’t drink tap water, going during rainy reason was just fine, if you have some days to explore Bali before or after the retreat do it!",1
K Club Ubud,HOTEL,hotel,5.0,$$$$,$275 - $389,-8.440894,115.28607,Kedisan,Indonesia,"Kedisan, Tegalalang, Gianyar Regency, Bali",4.9,702,1,#1 of 4 hotels in Kedisan,4.90830326080322,"Nestled in Ubud's serene natural beauty, K Club Ubud garners high praise for its exceptional value, offering affordable dining and spa services that leave many travelers feeling satisfied with their expenditures. The hotel's dynamic atmosphere, ranging from vibrant parties with DJs to tranquil, romantic villas, is a consistent highlight among guests. Visitors appreciate the seclusion and scenic location, while the cleanliness of meticulously kept facilities and immaculate rooms doesn't go unnoticed. Although the rooms are celebrated for their comfort and space, a few guests suggest improvements in soundproofing and pool area upkeep. Luxurious pools and extensive dining options are just some of the top-notch amenities that contribute to the indulgent experience at the K Club, complemented by the consistently lauded attentive and warm service from the staff.","Nestled in Ubud, K-Club features 30 luxurious villas with stunning views of the jungle, paddy fields, and gardens. With 2 to 5-bedroom options, each villa blends modern comforts and traditional charm for a personalized stay. Indulge in culinary delights at Akar, top-rated Bali restaurant, or unwind at Mekar Spa for a serene experience. Explore nature in style at Kanva Glamping, surrounded by lush jungle, or enjoy vibrant nightlife at Kabana Pool Club. K-Club offers more than just a stay—it’s a journey into luxury and nature, creating unforgettable moments in the heart of Bali.",glamping tents,jungle club,jungle view,bedroom villa,laser lights,requests were handled,paddy field walk,in room dining,recommended place to stay,complimentary morning,연인과 함께 또는 가족과 함께 하고싶은 그곳! K-club❤️�,"Everything was perfect, no crowded, just zen.","Pool, Kids Activities, Suites, Room service, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Kitchenette, Spa, Airport transportation, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Fitness center, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Microwave, Refrigerator in room, Minibar, Safe, Poolside Bar, Private Balcony, Butler Service, Outdoor pool, Private Pools, Breakfast Available, Free Shuttle or Taxi Services, Housekeeping, Additional Bathroom, Baggage Storage, Bath / Shower, Bathrobes, BBQ Facilities, Bicycle Tours, Bottled Water, Breakfast in the Room, Car Hire, Coffee Shop, Coffee / Tea Maker, Complimentary Tea, Doorperson, English, Extra Long Beds, Facial Treatments, Fitness Classes, Fitness / Spa Locker Rooms, Free Private Parking Nearby, Free Public Parking Nearby, Complimentary Instant Coffee, Complimentary Toiletries, 24-Hour Front Desk, Gift Shop, Hair Dryer, Hiking, Indonesian, Ironing Service, Kids' Meals, Kitchenware, Massage, Nightclub / DJ, Pool / Beach Towels, Pool with View, Salon, Seating Area, 24-Hour Security, Shops, Snack Bar, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Wake Up Service / Alarm Clock, Internet, Shuttle Bus Service, Free Internet, Wifi",332.0,4.0,0,"glamping tents, jungle club, jungle view, bedroom villa, laser lights, requests were handled, paddy field walk, in room dining, recommended place to stay, complimentary morning","연인과 함께 또는 가족과 함께 하고싶은 그곳! K-club❤️� Everything was perfect, no crowded, just zen.",1
Adiwana Suweta,HOTEL,hotel,4.0,$$,$124 - $246,-8.489062,115.26512,Ubud,Indonesia,"Ubud, Gianyar Regency, Bali",5.0,2987,8,#8 of 503 hotels in Ubud,4.92297792434692,"Adiwana Suweta is celebrated for providing a serene and luxurious oasis in the heart of Ubud, with guests often commending its cleanliness and value. The spacious and stylish rooms receive high marks, though some guests mention minor soundproofing concerns. Nestled amidst verdant greenery, the hotel's location offers both tranquility and convenience, enhanced by a complimentary shuttle service. The warm and attentive service, along with top-notch amenities like a stunning pool and lavish spa, contribute to an indulgent stay, although opinions on noise levels do vary.","Adiwana Suweta is hiding in plain sight where natural beauty meets Ubud enchanting culture. Immerse in a quiet haven while Ubud’s finest attractions are right outside your door. Designed by the renowned Popo Danes Architect, the spacious suites and private pool villas are built with contemporary Bali in mind. The resort faces lush green jungle and overlooks towering tropical trees. Strategically located for an escape in the midst of bustling Ubud central with a beautiful landscape, Adiwana Suweta calls to mind a relaxing vibe. Provided with service excellence and genuine Balinese hospitality, Adiwana Suweta brings guests to experience an unforgettable stay.",all day breakfast,great stay,beautiful hotel,afternoon tea,place to stay,infinity pool,welcome drink,nice pool,jungle view,romantic dinner,"The free shuttle is convenient, breakfast delicious, the spa relaxing, and the staff happy to share insider tips for a great stay in Ubud!",I have been in ubud during a low season so i didnt have any problem with crowding. The areas were very clean and spacious ,"Pool, Shuttle Bus Service, Suites, Room service, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Fitness center, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Minibar, Non-smoking hotel, Safe, Poolside Bar, Private Balcony, Butler Service, Infinity Pool, Outdoor pool, Private Pools, Breakfast Available, Free Shuttle or Taxi Services, Kids Stay Free, Allergy-free Room, Baggage Storage, Bath / Shower, Bathrobes, Bicycle Rental, Bicycle Tours, Bottled Water, Breakfast in the Room, Car Hire, 24-Hour Check-in, Coffee Shop, Coffee / Tea Maker, Complimentary Tea, Desk, Doorperson, English, Entertainment Staff, Evening Entertainment, Extra Long Beds, Fitness / Spa Locker Rooms, Free Private Parking Nearby, Free Public Parking Nearby, Complimentary Instant Coffee, Complimentary Toiletries, 24-Hour Front Desk, Hair Dryer, Hiking, Indonesian, Ironing Service, Kids' Meals, Malay, Massage, Outdoor Furniture, Pool / Beach Towels, Pool with View, Private Check-in / Check-out, Seating Area, 24-Hour Security, Secured Parking, Snack Bar, Special Diet Menus, Street Parking, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Wifi",185.0,2.0,0,"all day breakfast, great stay, beautiful hotel, afternoon tea, place to stay, infinity pool, welcome drink, nice pool, jungle view, romantic dinner","The free shuttle is convenient, breakfast delicious, the spa relaxing, and the staff happy to share insider tips for a great stay in Ubud! I have been in ubud during a low season so i didnt have any problem with crowding. The areas were very clean and spacious",8
Bliss Sanctuary for Women,HOTEL,hotel,0.0,$$$$,400,-8.645322,115.13626,Canggu,Indonesia,"Canggu, North Kuta, Bali",5.0,785,4,#4 of 441 Specialty lodging in Canggu,4.89691686630249,"Bliss Sanctuary for Women is lauded for its enchanting ambiance, featuring beautiful décor and vibrant gardens that resonate with music and laughter. The staff, celebrated for their personalized attention, ensure a nurturing experience, particularly for solo travelers. Guests rave about the spacious and luxurious rooms, complete with balconies and soaking tubs. Nestled in a prime location near shops and the beach, the hotel offers a range of praised amenities including delectable food, indulgent spa treatments, and yoga. The spotless environment and perceived exceptional value further enhance the retreat experience for many travelers.","Bliss Sanctuary for Women Canggu (founded in 2011), welcomes women traveling on their own without being alone or with a friend. Come and stay with us in beautiful Bali Villa Accommodation where you will be nurtured to your heart's content. No kids, no couples, and only a handful of women at any one time. This is pure holiday bliss, a sanctuary for women traveling who want the ultimate relaxation hassle free travel experience in Bali. 5-7 Day Packages ALL inclusive: All Meals, unlimited massage & spa treatments everyday, unlimited yoga, meditation, personal driver, free sightseeing, onsite dedicated hostess, Itinerary consultation... Hassle Free Bliss! Spa treatments include: Balinese Massage, Hot Stone Massage, Thai Massage, Facial, Body Scrub, Creme Bath (head & shoulders), Manicure & Pedicure, Reflexology ... All Included 90 minutes or more everyday with unlimited treatments in your package.",daily massages,other guests,wonderful hostesses,hot stone,spa treatments,mango pancakes,lovely ladies,ladies staying,tarot reading,coffee plantation,Even being here for 7 days I still didn’t have the need to leave the retreat once!,"Pick a package that fits your desires, be open to taking care of yourself","Internet, Free Internet, Free Wifi, Pool, Shuttle Bus Service, Room service, Free parking, Restaurant, Spa, Airport transportation, Public Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Non-smoking hotel, Safe, Private Balcony, Outdoor pool, Free airport transportation, Free Shuttle or Taxi Services, Bicycle Tours, 24-Hour Check-in, Entertainment Staff, Facial Treatments, Fitness Classes, Foot Massage, Full Body Massage, Head Massage, Indonesian, Ironing Service, Massage, Mosquito Net, Pool / Beach Towels, Private Check-in / Check-out, Salon, 24-Hour Security, Snack Bar, Special Diet Menus, Sun Loungers / Beach Chairs, Sun Terrace, Sun Umbrellas, Wifi, Beach Access",400.0,4.0,0,"daily massages, other guests, wonderful hostesses, hot stone, spa treatments, mango pancakes, lovely ladies, ladies staying, tarot reading, coffee plantation","Even being here for 7 days I still didn’t have the need to leave the retreat once! Pick a package that fits your desires, be open to taking care of yourself",4
Escape Haven,HOTEL,hotel,0.0,$$$,$399 - $499,-8.646425,115.13178,Canggu,Indonesia,"Canggu, North Kuta, Bali",5.0,1187,1,#1 of 441 Specialty lodging in Canggu,4.9380350112915,"Escape Haven is lauded by guests for its luxurious amenities, including a variety of spa treatments and cultural activities, all within well-maintained facilities. The hotel is commended for providing excellent value, with travelers feeling their experience is well worth the investment. The warm and attentive service ensures guests feel pampered, contributing to the nurturing atmosphere of the hotel. Additionally, the spacious and pristine rooms receive high marks for cleanliness and comfort. While the location is generally admired for its beauty, some guests desire a more secluded setting.","Bali's most awarded women's active spa retreat. Offering week long programs across surf, fitness, healing and yoga. Included in the rate is surfing lessons, daily yoga, fitness classes, healing, delicious healthy food, spa treatments and a cultural tour.",spa treatments,life changing,retreat leaders,unlimited spa,amazing week,highly recommend this retreat,ayurveda package,surf package,yoga instructor,retreat experience,"Just book it and invest in yourself, you won’t regret it","Do yourself a favour - press the button and invest in yourself! You will not regret it. Pack lightly, emerse yourself in it all!","Pool, Internet, Room service, Free Internet, Wifi, Free Wifi, Suites, Restaurant, Spa, Airport transportation, Public Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Non-smoking hotel, Safe, Breakfast Buffet, Private Balcony, Butler Service, Infinity Pool, Free airport transportation, Free Shuttle or Taxi Services, Bathrobes, Bicycle Rental, Bicycle Tours, Bicycles Available, 24-Hour Check-in, Entertainment Staff, Facial Treatments, Fitness Classes, Foot Massage, Full Body Massage, Head Massage, Indonesian, Laptop Safe, Massage, Pool / Beach Towels, Private Check-in / Check-out, Salon, 24-Hour Security, Special Diet Menus, Sun Umbrellas, Taxi Service",449.0,3.0,0,"spa treatments, life changing, retreat leaders, unlimited spa, amazing week, highly recommend this retreat, ayurveda package, surf package, yoga instructor, retreat experience","Just book it and invest in yourself, you won’t regret it Do yourself a favour - press the button and invest in yourself! You will not regret it. Pack lightly, emerse yourself in it all!",1
Swiss-Belexpress Kuta,HOTEL,hotel,2.0,$,$23 - $31,-8.717546,115.17611,Kuta,Indonesia,"Kuta, Kuta District, Bali",4.7,528,3,#3 of 415 hotels in Kuta,4.85924863815307,"Nestled close to the bustling streets of Kuta, Swiss-Belexpress Kuta garners positive feedback for its prime location, a stone's throw from beaches and local hotspots. Guests have called out the hotel for its commendable cleanliness and cozy, well-maintained rooms. The serene atmosphere offers a tranquil retreat, and the staff's professionalism and warmth are consistently highlighted. While the rooms are generally applauded for their comfort and amenities, a few guests noted minor maintenance issues. Overall, the hotel is touted for providing excellent value, blending affordability with quality service.","Located in the heart of Kuta, Swiss-Belexpress Kuta, Legian is the place to stay! Closed to Legian Night Life which has a reputation for the best parties in Bali with the world’s best DJs. Stroll along Kuta Beach and enjoy one of the most stunning sunsets in the world. Kuta Beach is no less famous for its magnificent surf waves! A short walk away is Beachwalk Shopping Mall which is more than just a mall, it’s a lifestyle complex with upscale fashion brands and international class entertainment.",enjoy night life,front office,nice hotel,bali,wifi,housekeeping,,,,,Time to replace the towels,You can ask locals for a back road to Kuta beach.,"Pool, Internet, Kids Activities, Free Internet, Free parking, Wheelchair access, Restaurant, Airport transportation, Wifi, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Concierge, Air conditioning, Safe, Breakfast Buffet, Poolside Bar, Housekeeping, Kids Stay Free, Baggage Storage, Bath / Shower, Bottled Water, 24-Hour Check-in, Coffee Shop, Complimentary Toiletries, 24-Hour Front Desk, Indonesian, Interconnected room(s) available, Room service, Laundry Service, Family Rooms, Smoking rooms available, Kids pool, Parking, Desk, English, Complimentary Welcome Drink, Laptop Safe, Pool / Beach Towels, Pool View, 24-Hour Security, Shared Lounge / TV Area, Soundproof Rooms, Sun Loungers / Beach Chairs, Sun Terrace, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Beach Access",27.0,1.0,0,"enjoy night life, front office, nice hotel, bali, wifi, housekeeping",Time to replace the towels You can ask locals for a back road to Kuta beach.,3
AnandaDara Ubud Resort and Spa,HOTEL,hotel,4.0,$$,$82 - $129,-8.467836,115.26954,Ubud,Indonesia,"Ubud, Gianyar Regency, Bali",4.9,379,20,#20 of 503 hotels in Ubud,4.87901353836059,"Nestled in a tranquil environment, AnandaDara Ubud Resort and Spa draws guests with its spacious and well-appointed rooms, often celebrated for their cleanliness and the bonus of terraces and minibars, despite occasional mentions of humidity. The serene atmosphere, underscored by the property's natural beauty, offers a relaxing retreat. While opinions on value vary, the resort's amenities, including the praised breakfast, pool, and shuttle service, receive consistent acclaim. The service at AnandaDara is frequently highlighted, with staff earning accolades for their attentive and friendly nature, though its peaceful location is noted as a bit remote for some.","A peaceful haven nestled in the heart of Tegalalang and conveniently located just a 10-minute drive from the bustling Ubud Center. Embraced by captivating rice paddy fields, AnandaDara Ubud Resort & Spa offers a serene setting amidst lush emerald greenery. Unwind and rejuvenate in our idyllic surroundings as you soak in the infinity pool, surrender to soothing spa treatments, or bask in the warmth of the jacuzzi. Designed by the acclaimed Balinese architect, Nyoman Miyoga, our resort seamlessly blends tropical Balinese contemporary architecture, creating an atmosphere of harmony and elegance. With a restaurant, bar, meeting room, yoga shala, and gym, we provide everything for your immersive holiday experience.",,,,,,,,,,,Book the spa early so not to be disappointed getting suitable time slot,"Breakfats was made by order n it needs time, so make sure to come earlier if you have a busy schedule.","Pool, Shuttle Bus Service, Suites, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Minibar, Non-smoking hotel, Safe, Outdoor pool, Free Shuttle or Taxi Services, Baggage Storage, Bathrobes, Breakfast in the Room, 24-Hour Check-in, Complimentary Tea, English, Extra Long Beds, Complimentary Instant Coffee, 24-Hour Front Desk, Indonesian, Ironing Service, Massage, Outdoor Furniture, Pool / Beach Towels, Private Check-in / Check-out, Seating Area, 24-Hour Security, Soundproof Rooms, Special Diet Menus, Taxi Service, Room service",105.5,2.0,0,,"Book the spa early so not to be disappointed getting suitable time slot Breakfats was made by order n it needs time, so make sure to come earlier if you have a busy schedule.",20
